log_message,is_ransomware
Network connection established,0
Security breach detected,1
Detected suspicious file: abc.exe,1
Clean log,0
System update completed,0
Intrusion attempt detected,1
Critical error in application XYZ,1
Backup successful,0
Invalid login attempt from IP: 192.168.1.1,1
Disk space low. Cleanup initiated.,0
Server restart due to system update,0
User account locked due to multiple failed login attempts,1
Database backup completed,0
Network bandwidth usage exceeded threshold,1
Firewall rule updated,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
Server time synchronized with NTP server,0
Application crash reported,1
Disk I/O error reported,1
SSL certificate expired,1
Unauthorized access detected,1
High CPU usage detected,1
Critical system process stopped unexpectedly,1
Invalid user login attempt detected,1
File transfer complete,0
Backup server offline,1
Account locked due to multiple failed login attempts,1
Network bandwidth usage exceeded threshold,1
Software update available. Restart required,0
DNS server not responding,1
Unauthorized access detected,1
System memory usage high,1
Network printer offline,1
